Star Name,Distance (pc),Spectral Class,Index
Absolutno,273.84505846592,G8V,0
Acamar,49.431537320810676,A2V,1
Achernar,42.75331338178709,B6Vpe,2
Achird,5.923040746966515,F9V,3
Acrux,98.71668311944718,B0.5IV+B1V,4
Acubens,54.554183214768905,kA7VmF0/2III/IVSr,5
Adhafera,71.23674106156993,F0IIIa,6
Adhara,124.22360248447205,B1.5II,7
Adhil,68.47345284233302,K0-IIIb,8
Ainalrami,543.8625115570784,K1II,9
Aladfar,425.531914893617,B2.5IV,10
Alasia,41.686815294058796,G5V,11
Albaldah,156.25,F2II-III,12
Albali,74.83965603694085,B9.5V,13
Albireo,133.15579227696404,K3II+B9.5V,14
Alchiba,14.976875703913159,F1V,15
Alcor,25.056376847907796,A5V+M3-4V,16
Alcyone,123.60939431396787,B7III,17
Aldebaran,20.43318348998774,K5+III,18
Alderamin,15.037593984962406,A8Vn,19
Aldhanab,56.15453728661276,B8IV-Vs,20
Aldhibah,100.70493454179255,B6III,21
Aldulfin,112.1717573949231,B6IV,22
Alfirk,210.0840336134454,B0.5IIIs,23
Algedi,33.42916360232667,G9III,24
Algenib,143.93873967239543,B2IV,25
Algieba,39.88831272437176,K1-III+G7IIIb,26
Algol,27.570995312930794,B8V,27
Algorab,26.63115845539281,A0IV(n)kB9,28
Alhena,33.51206434316354,A1.5IV+,29
Alioth,25.31004808909137,A1III-IVpkB9,30
Aljanah,23.16053259960766,K0III,31
Alkaid,31.86743148502231,B3V,32
Alkalurops,37.62807656561019,F0IV,33
Alkaphrah,109.89010989010988,A1Vn,34
Alkarab,53.458497495469395,F8III,35
Alkes,49.09348873058966,K0IIIb,36
Almaaz,1012.2482032594392,A9Ia,37
Almach,120.48192771084337,K2+IIb,38
Alnair,30.96934035305048,B6V,39
Alnasl,29.700029700029702,K0+III,40
Alnilam,606.0606060606061,B0Ia,41
Alnitak,225.73363431151242,O9.7Ib+B0III,42
Alniyat,213.67521367521366,B1III+B1:V,43
Alphard,55.279159756771705,K3IIIa,44
Alphecca,23.00966405890474,A1IV,45
Alpheratz,29.744199881023203,B8IV-VHgMn,46
Alpherg,114.50163164825099,G7IIIa,47
Alrakis,27.434842249657063,F6V+F6V,48
Alrescha,46.16805170821792,kA0hA7Sr+kA2hF2mF2(IV),49
Alruba,142.3122900893721,A2V,50
Alsafi,5.7638914105913805,K0V,51
Alsciaukat,117.2332942555686,K4+III,52
Alsephina,24.69745616201531,A2IV+A4V,53
Alshain,13.600834547207816,G8IV,54
Alshat,82.14429466801383,B9IV,55
Altair,5.12952038984355,A7Vn,56
Altais,29.98509740658893,G9III,57
Alterf,114.21392267717435,K4.5III,58
Aludra,609.7560975609756,B5Ia,59
Alula Australis,8.833922261484098,F8.5:V+G2V,60
Alula Borealis,122.39902080783354,K3-III:,61
Alzirr,17.998560115190784,F5IV-V,62
Amadioha,62.43327443794445,G8/K0IV/V,63
Anadolu,174.6358841814816,K2V,64
Ancha,58.51614753091115,G9II,65
Angetenar,59.54862144941345,K0III,66
Aniara,122.41250566157838,K0III,67
Ankaa,25.974025974025974,K0.5IIIb,68
Anser,89.09638446871826,M0.5IIIb,69
Antares,169.77928692699493,M1.5Iab+B2Vn,70
Arcalis,132.50298131707964,K0,71
Arcturus,11.257458065968706,K1.5IIIFe-0.5,72
Arkab Posterior,41.135335252982316,F2/3V,73
Arkab Prior,119.35737986679717,B9V,74
Arneb,680.2721088435375,F0Ib,75
Ascella,27.041644131963224,A2.5Va,76
Asellus Australis,41.969018470565025,K0+IIIb,77
Asellus Borealis,53.639147995773236,A1IV,78
Ashlesha,39.635354736424894,G1III+A8V,79
Aspidiske,234.7417840375587,A7Ib,80
Asterope,136.88691771727377,B8V,81
Athebyne,27.998420889061858,G8-IIIab,82
Atik,343.64261168384877,B1III,83
Atlas,117.2332942555686,B8III,84
Atria,119.76047904191617,K2III_Ba1,85
Avior,185.5287569573284,K3:III+B2:V,86
Axolotl,94.52153200499073,G2V,87
Ayeyarwady,161.66057745158267,G8/K0IV,88
Azelfafage,529.1005291005291,B3III,89
Azha,41.291942290381456,K1+IIIb,90
Azmidi,367.6470588235294,G6Ib,91
Baekdu,163.1907046574627,K0,92
Barnard's Star,1.828234114153841,M4V,93
Baten Kaitos,77.65783955890346,K0.5III,94
Beemim,89.87148377819716,K3.5III,95
Beid,38.29994216708733,F0III,96
Belel,120.52258593260377,K0III,97
Belenos,44.831791119718815,F8,98
Bellatrix,77.39938080495357,B2V,99
Berehynia,192.84171551990124,G5,100
Betelgeuse,152.67175572519085,M1-M2Ia-Iab,101
Bharani,50.78720162519045,B8Vn,102
Bibha,103.32393085562546,G1V,103
Biham,27.19771104063882,A1Va,104
Bosona,147.8480713219096,K0III,105
Botein,50.57375929924999,G9.5IIIb,106
Brachium,79.75308445054112,M2.5III,107
Bubup,38.043933133983124,F9.5V,108
Buna,59.998800023999515,G2,109
Bunda,54.84741449288081,K0III,110
Canopus,94.7867298578199,A9II,111
Capella,13.123359580052492,G3III:,112
Caph,16.784155756965426,F2III,113
Castor,15.595757953836554,A1V+A2Vm,114
Castula,60.07268795242244,G8.5IIIbFe-0.5,115
Cebalrai,25.49173557932518,K2IIICN0.5,116
Ceibo,37.65896791832523,K3Vk:,117
Celaeno,135.4059470291935,B7IV,118
Cervantes,15.604202523823716,G3IV-V,119
Chalawan,13.887538711514159,G1-VFe-0.5,120
Chamukuy,45.845272206303726,A7III,121
Chaophraya,182.26556092226375,G9V,122
Chara,8.47266633114908,G0V,123
Chason,310.71339796172015,G1V,124
Chechia,72.85231378948596,G8IV,125
Chertan,49.22228785193936,A2IV,126
Citadelle,192.24114729516705,K0,127
Citala,29.91772625280479,G0V,128
Cocibolca,34.10792429405124,G7VFe-1CH-0.5,129
Copernicus,12.58681757421817,K0IV-V,130
Cor Caroli,30.559825442277074,A0VpSiEu,131
Cujam,76.31607063815498,A2VpCrSr,132
Cursa,27.589555697795042,A3IV,133
Dalim,13.998994872168177,F6V,134
Deneb,432.9004329004329,A2Ia,135
Deneb Algedi,11.866619200189866,kA5hF0mF2III,136
Denebola,10.99989000109999,A3Va,137
Diadem,17.825311942959,F5V+F6V,138
Dingolay,139.3009876440024,G6V,139
Diphda,29.533372711163615,G9.5IIICH-1,140
Diwo,403.0470355890532,F4,141
Dofida,37.674858436719425,G0V,142
Dombay,134.84539974918758,K1V,143
Dschubba,150.6024096385542,B0.3IV,144
Dubhe,37.67897513187641,G9III+A7.5,145
Dziban,22.753128555176335,F5IV-V,146
Ebla,28.821932337631644,K3V,147
Edasich,31.026993484331374,K2III,148
Electra,124.06947890818857,B6IIIe,149
Elgafar,37.20348819905354,G2IV,150
Elkurud,239.63001126261054,B7III,151
Elnath,41.050903119868636,B7III,152
Eltanin,47.303689687795654,K5III,153
Emiw,36.11033875108782,K1IV,154
Enif,211.41649048625789,K2Ib-II,155
Epsilon Eridani,3.219810333852474,K2V,156
Epsilon Tauri,44.71192109240165,G9.5IIICN0.5,157
Errai,13.789927009916337,K1III-IVCN1,158
Fafnir,90.44862518089725,K1.5IIIFe-1,159
Fang,179.53321364452424,B1V+B2:V:,160
Fawaris,50.58168942842691,A0IV,161
Felis,176.0904400500097,K5III,162
Felixvarela,34.51572709104904,K4Vk:,163
Flegetonte,29.357022493350634,K0V,164
Fomalhaut,7.7035667514059005,A4V,165
Formosa,138.22655332089295,G9III,166
Franz,224.85553032176824,F5V,167
Fulu,181.81818181818184,B2IV,168
Fumalsamakah,125.15644555694617,B6Ve,169
Funi,67.94678407870956,G0V,170
Furud,111.11111111111111,B2.5V,171
Fuyue,40.430177084175625,K2III,172
Gacrux,27.151778441487917,M3.5III,173
Gakyid,83.62882183715797,G5,174
Giausar,115.66309653242038,M0III-IIIaCa1,175
Gienah,47.103155911446066,B8III,176
Ginan,70.42303114810667,K3III,177
Gloas,230.8935580697298,G1V,178
Gomeisa,49.578582052553294,B8Ve,179
Grumium,34.41120704190941,K2III,180
Gudja,117.09601873536302,M0.5IIIab,181
Gumala,27.53948473624058,F8V,182
Guniibuu,5.933309600094933,K2V+K1V,183
Hadar,120.19230769230768,B1III,184
Haedus,71.32260641332877,B3V,185
Hamal,20.177562550443906,K2-IIIbCa-1,186
Hassaleh,137.94815908181704,K3II-III,187
Hatysa,714.2857142857143,O9IIIvar,188
Helvetios,15.526793034059574,G2IV,189
Heze,22.858867068830335,A2Van,190
Hoggar,186.29606170125564,G8IV,191
Homam,62.65664160401002,B8V,192
Horna,251.59131506780383,G,193
Hunahpu,113.16697787585584,K0III/IV,194
Hunor,128.51653365205433,F8V,195
Iklil,144.7178002894356,B2IV-V,196
Illyrian,126.65602756035159,G0,197
Imai,139.50698232446533,B2IV,198
Inquill,55.66193169167743,G1V(w),199
Intan,47.71880263980417,K3/4III/V,200
Intercrus,84.62886013388285,K0III,201
Irena,136.2899159091219,F8,202
Itonda,44.90587728121857,G1/3(V),203
Izar,62.11180124223603,A0,204
Jabbah,145.34883720930233,B2V,205
Jishui,51.722889447496094,F5-6IV,206
Kaffaljidhma,24.408103490358798,A2Vn+F4V,207
Kalausi,40.85067444463508,K0/1V+G(III),208
Kamuy,135.37845045825605,K0III,209
Kang,86.2976578815651,K2.5IIIFe-0.5,210
Karaka,40.62398440038999,K2IV,211
Kaus Australis,43.93673110720562,B9IVp_lB?,212
Kaus Borealis,23.969319271332694,K1IIIb,213
Kaus Media,127.44048529336801,K2.5IIIaCN0.5,214
Kaveh,130.7702366941284,G6/8IV,215
Keid,5.009819245721614,K0V,216
Khambalia,54.275262420893796,A1V,217
Kitalpha,58.14460563421229,G6IV+B9.5V,218
Kochab,40.14452027298274,K4-III,219
Koeia,23.423098454309734,K5V,220
Koit,264.46630699248914,F5,221
Kornephoros,42.662116040955624,G7IIIaFe-0.5,222
Kraz,45.444423741984735,G5IIBa0.3,223
Kurhah,29.59455460195324,Am+F7/8V,224
La Superba,310.3469679101235,C-N5,225
Larawag,19.535065442469232,K1III,226
Lesath,176.67844522968198,B2IV,227
Libertas,57.08316446230513,G9.5IIIb,228
Liesma,92.04458639765102,G0V,229
Lilii Borea,52.523767004569564,K0.5IIIb,230
Lionrock,111.54738532928788,G8IV,231
Lucilinburhuc,46.96820252688929,G5,232
Lusitania,34.90681625400992,K5,233
Maasym,120.56472517270898,K3.5III,234
Macondo,28.485483797456816,K2IV-V,235
Mago,121.66634222308738,K1III,236
Mahasim,50.76142131979696,A0VpSi,237
Mahsati,164.4736842105263,K0,238
Maia,117.50881316098707,B8III,239
Marfik,53.07855626326964,A1IV,240
Markab,40.883074407195416,B9III,241
Marohu,199.70842569848023,G8V,242
Matar,60.129398465497744,G8II+F0V,243
Mebsuta,259.0673575129534,G8Ib,244
Megrez,24.685262898049867,A2Vn,245
Meissa,336.7003367003367,O8IIIf+B0.5V,246
Mekbuda,325.42549383318686,G1Ib,247
Meleph,185.7493127275429,A5m,248
Menkalinan,24.86943546381497,A1IV-Vp,249
Menkar,76.39419404125287,M1.5IIIa,250
Menkent,18.034265103697024,K0-IIIb,251
Menkib,381.6793893129771,O7.5III(n)((f)),252
Merak,25.90465532560857,A1IVps,253
Merga,48.01597971805017,F6IVs,254
Meridiana,36.91617075943947,A2Va,255
Merope,116.55011655011654,B6IV(e),256
Mesarthim,50.30181086519115,kA0hA3(IV)SiSr+B9.5IV,257
Miaplacidus,34.698126301179734,A1III-,258
Mimosa,85.39709649871904,B1IV,259
Minchir,114.28571428571428,K1III,260
Minelauva,60.82725060827251,M3+III,261
Mintaka,212.31422505307856,O9.5IINwk,262
Mira,91.65902841429882,M5-9IIIe+DA,263
Mirach,60.53268765133172,M0+IIIa,264
Miram,269.54177897574124,K3-Ib-IIa,265
Mirfak,155.27950310559004,F5Ib,266
Mirzam,151.05740181268882,B1II-III,267
Misam,34.805126098971854,G9.5IIIb,268
Moldoveanu,162.6307144367285,G1V,269
Monch,31.91258504703915,K0V,270
Montuno,245.6519603026432,F5,271
Morava,430.23706062040185,G1V,272
Moriah,365.52379559909355,G0,273
Mothallah,19.48140499892852,F5III,274
Mouhoun,131.63957085499902,K0III,275
Mpingo,355.13885929398396,G2,276
Muliphein,135.50135501355012,B8II,277
Muphrid,11.396011396011398,G0IV,278
Muscida,55.761563554242066,G5III:,279
Musica,75.17610001428346,G6III,280
Nahn,124.93753123438283,G8.5IIIFe-0.5CH-1,281
Naos,332.2259136212625,O4I(n)fp,282
Nashira,52.34588064092296,kF0hF1VmF2,283
Nasti,60.38720274399449,G1V,284
Natasha,33.52633325845785,K1.5V,285
Nekkar,72.05649228995533,G8IIIaFe-0.5,286
Nembus,53.9115527066295,K3-IIICN0.5,287
Nenque,42.25239042898852,G2/3V,288
Nervia,42.87870472008781,G3V,289
Nihal,47.9163572068597,G5II-IIIa:,290
Nikawiy,104.98136580756916,G5,291
Nosaxa,90.8554036251306,G5IV/V,292
Nunki,69.83240223463686,B2V,293
Nusakan,34.28179636612958,F2VpSrCrEuSi,294
Nushagak,77.43414226200618,F9V,295
Nyamien,286.60686136826115,F7,296
Ogma,76.21776941076043,G0IV,297
Okab,25.45824847250509,A0IV-Vnn,298
Paikauhale,145.34883720930233,B0.2V,299
Peacock,54.824561403508774,B2IV,300
Petra,49.71636811987611,K7V-M0V,301
Phact,80.12820512820512,B9Ve,302
Phecda,25.50369803621525,A0Ve+K2V,303
Pherkad,149.2537313432836,A2III,304
Phoenicia,19.629705240346112,K1/2V,305
Piautos,174.33143893169694,B9.5V,306
Pincoya,40.02129132698595,K3.5Vk:,307
Pipirima,145.34883720930233,B2IV,308
Pleione,138.09484353854228,B8Vne,309
Poerava,55.95188138201147,F7V,310
Polaris,132.6259946949602,F8Ib,311
Polaris Australis,90.08603216071347,F0IV,312
Polis,11111.111111111111,B8Iab(e),313
Pollux,10.358400662937642,K0IIIb,314
Porrima,12.02016984499991,F1-F2V,315
Praecipua,30.37574800279457,K0+III-IV,316
Prima Hyadum,46.15846200004616,G9.5IIIabCN0.5,317
Procyon,3.5141973573235874,F5IV-V+DQZ,318
Propus,211.3628677713899,M2IIIa,319
Proxima Centauri,1.3019705975979945,M5.5Ve,320
Rana,9.088810401961728,K0+IV,321
Rapeto,48.40739665020814,F8V,322
Rasalas,38.31843384897172,K2IIIbCN1Ca1,323
Rasalgethi,110.25358324145535,M5Ib-II+G5III+F2V:,324
Rasalhague,14.896469536719799,A5IVnn,325
Rastaban,116.55011655011654,G2Ib-IIa,326
Regulus,24.313153415998055,B8IVn,327
Revati,40.88391013716552,A7IV,328
Rigel,264.55026455026456,B8Iae,329
Rigil Kentaurus,1.3458950201884252,G2V,330
Rosaliadecastro,73.37887715642175,G3V,331
Rotanev,30.93102381688834,F5IV,332
Ruchbah,30.47851264858275,A5IV,333
Rukbat,55.74136008918617,B8V,334
Sabik,27.0929287455974,A2IV-V,335
Saclateni,240.96385542168673,K5II+B7V,336
Sadachbia,38.677088852876224,A0V,337
Sadalbari,34.56141563558443,G8+III,338
Sadalmelik,160.51364365971108,G2Ib,339
Sadalsuud,164.74464579901152,G0Ib,340
Sadr,561.7977528089888,F8Ib,341
Sagarmatha,49.60563520015874,G8V,342
Saiph,198.4126984126984,B0.5Ia,343
Salm,48.27536266866205,A5Vp_lB,344
Samaya,92.92903009971285,F7V,345
Sansuna,253.31205512070318,F8,346
Sargas,92.08103130755065,F1III,347
Sarin,23.036166781847502,A1IVn,348
Sceptrum,34.62975596410972,K2-IIIb,349
Scheat,60.09615384615384,M2.5II-III,350
Schedar,69.97900629811058,K0-IIIa,351
Secunda Hyadum,49.23876863687393,G9.5IIICN0.5,352
Segin,142.7816725445122,B3Vp_sh,353
Seginus,26.60989888238425,A7IV+(n),354
Sham,130.97062328919623,G1II,355
Shama,55.011552426009466,G8/K0IV,356
Sharjah,14.575134819997084,M3V,357
Shaula,175.13134851138355,B2IV+DA7.9,358
Sheliak,294.9852507374631,B8.5Ib-II,359
Sheratan,17.985611510791365,kA4hA5mA5Va,360
Sika,59.96426130026504,G1V,361
Sirius,2.637061258933045,A0mA1Va,362
Situla,67.95832795329903,K1.5IIIbCN0.5,363
Skat,43.20568932517034,A3Vp,364
Solaris,49.30066999610525,K5,365
Spica,76.5696784073507,B1V,366
Sterrennacht,274.2806988672207,F8V,367
Stribor,78.0579189758801,G0,368
Sualocin,72.8342728954537,B9IV,369
Subra,39.95205753096285,F8-G0III+A7m,370
Suhail,166.94490818030047,K4Ib,371
Sulafat,190.11406844106463,B9III,372
Syrma,22.237046920169004,F7III,373
Tabit,8.06842020332419,F6V,374
Taiyangshou,60.83391125549026,K0.5IIIb:,375
Taiyi,29.44059917507441,F3IV,376
Talitha,14.509576320371446,A6,377
Tangra,255.82644733812583,G3V,378
Tania Australis,56.18387859787512,M0III,379
Tania Borealis,69.15916289749228,A1IV,380
Tapecue,32.516941326431066,G9V,381
Tarazed,121.06537530266344,K3II,382
Tarf,98.98441985231523,K4IIIBa0.5:,383
Taygeta,125.47051442910916,B6IV,384
Tegmine,25.08151492350138,F8V+G0V,385
Tejat,71.02272727272727,M3IIIab,386
Terebellum,23.410486493319816,G5IV,387
Tevel,462.40636271155097,F,388
Theemin,64.72450016504747,G8+III,389
Thuban,79.90028444501263,A0III,390
Tiaki,54.25935973955508,M4.5III,391
Tianguan,136.4256480218281,B1IVe_shell,392
Tianyi,236.72561134389127,K5III,393
Timir,70.39328729612343,K0III/IV,394
Tislit,356.15072298596766,F6,395
Titawin,13.478178828476697,F9V,396
Tojil,317.1381453761258,G,397
Toliman,1.3458950201884252,K1V,398
Tonatiuh,100.7252215954875,G8.5IIIb,399
Torcular,79.81100753415912,G8III,400
Tupa,38.82183495285088,F8/G0V,401
Tupi,33.48591749739647,F9.5V,402
Tureis,19.48178453146308,F5IIkF2IImF5II,403
Ukdah,80.71025020177562,K2.5III,404
Uklun,39.442908362291,G6V,405
Unukalhai,22.675736961451246,K2IIIbCN1,406
Unurgunite,343.64261168384877,K5Ib,407
Uruk,108.4728112898502,F8V,408
Vega,7.678722260615834,A0Va,409
Veritate,75.9411000827758,G8III,410
Vindemiatrix,33.100526298368145,G8III-IIIb,411
Wasat,18.59800778140646,F2VkF0mF0,412
Wazn,26.73082063619353,K1III_CN+1,413
Wezen,492.61083743842374,F8Ia,414
Wurren,89.22198429693076,B6V+B9V,415
Xamidimura,533.8458253256459,B1V+B,416
Xihe,132.6911083688282,G8,417
Xuange,30.685671325774425,A0Va_lB,418
Yed Posterior,32.77227203607571,G9.5IIIbFe-0.5,419
Yed Prior,52.465897166841565,M0.5III,420
Yildun,55.927786042661715,A1Van,421
Zaniah,75.93475685690854,A2IV,422
Zaurak,58.8179936006023,M0III-IIIb,423
Zavijava,11.001765783408239,F9V,424
Zhang,76.18293045260279,G7III,425
Zibal,36.50301149844862,kA4hA9mA9V,426
Zosma,17.914725904693658,A5IV(n),427
Zubenelgenubi,23.239600278875205,kA2hA5mA4IV-V,428
Zubenelhakrabi,50.025012506253134,G8.5III,429
Zubeneschamali,56.75368898978434,B8Vn,430
