sp,T_eff,L/L_o,R/R_o
O5,39400,741000,18.5
O6,37800,519000,16.8
O7,36500,375000,15.40
O8,35000,277000,14.3
B0,29200,84700,11.4
B1,24500,32200,10
B2,20200,11100,8.6
B3,18300,6400,8
B5,15100,2080,6.7
B6,13800,1200,6.1
B7,12700,710,5.5
B8,11700,425,5
B9,10900,263,4.5
A0,10200,169,4.1
A1,9820,129,3.9
A2,9460,100,3.7
A5,8550,52,3.3
A8,7830,33,3.1
F0,7400,27,3.2
F2,7000,24,3.3
F5,6410,22,3.8
G0,5470,29,6
G2,5300,31,6.7
G8,4800,44,9.6
K0,4660,50,10.9
K1,4510,58,12.5
K3,4260,79,16.4
K4,4150,93,18.7
K5,4050,110,21.4
K7,3870,154,27.6
M0,3690,256,39.3
M1,3600,355,48.6
M2,3540,483,58.5
M3,3480,643,69.7
M4,3440,841,82
M5,3380,1100,96.7
M6,3330,1470,116