sp,T_eff,L/L_o,R/R_o
O5,42000,499000,13.4
O6,39500,324000,12.2
O7,37500,216000,11
O8,35800,147000,10
B0,30000,32500,6.7
B1,25400,9950,5.2
B2,20900,2920,4.1
B3,18800,1580,3.8
B5,15200,480,3.2
B6,13700,272,2.9
B7,12500,160,2.7
B8,11400,96.7,2.5
B9,10500,60.7,2.3
A0,9800,39.4,2.2
A1,9400,30.3,2.1
A2,9020,23.6,2
A5,8190,12.3,1.8
A8,7600,7.13,1.5
F0,7300,5.21,1.4
F2,7050,3.89,1.3
F5,6650,2.56,1.2
F8,6250,1.68,1.1
G0,5940,1.25,1.06
G2,5790,1.07,1.03
G8,5310,0.656,0.96
K0,5150,0.552,0.93
K1,4990,0.461,0.91
K3,4690,0.318,0.86
K4,4540,0.263,0.83
K5,4410,0.216,0.8
K7,4150,0.145,0.74
M0,3840,0.077,0.63
M1,3660,0.05,0.56
M2,3520,0.032,0.48
M3,3400,0.02,0.41
M4,3290,0.013,0.35
M5,3170,0.0076,0.29
M6,3030,0.0044,0.24
M7,2860,0.0025,0.2